kernel_name,kernel_ts,kernel_dur,external_id,cpu_op_name,cpu_ts,cpu_dur,input_dims,module_stack,module_level_0,module_level_1,module_level_2,module_level_3,module_level_4
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<c10::Half, at::native::ArgMaxOps<float>, unsigned int, long, 4, 4> >(at::native::ReduceOp<c10::Half, at::native::ArgMaxOps<float>, unsigned int, long, 4, 4>)",3062020841085.119,22.943,15876,aten::argmax,3062020837371.91,439.98,"[[1, 32000], [], []]",,,,,,
"void at::native::(anonymous namespace)::indexSelectSmallIndex<c10::Half, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<c10::Half, unsigned int>, at::cuda::detail::TensorInfo<c10::Half const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, long)",3062020841109.342,5.248,15883,aten::index_select,3062020838043.387,43.445,"[[32000, 4096], [], [1]]",nn.Module: LlamaForCausalLM_0;nn.Module: LlamaModel_0;nn.Module: Embedding_0,nn.Module: LlamaForCausalLM_0,nn.Module: LlamaModel_0,nn.Module: Embedding_0,,
"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, function_traits<{lambda(long)#1}>::result_type*)",3062020841116.03,2.336,15889,aten::arange,3062020838120.663,16.875,"[[], [], [], [0]]",nn.Module: LlamaForCausalLM_0;nn.Module: LlamaModel_0,nn.Module: LlamaForCausalLM_0,nn.Module: LlamaModel_0,,,
"void at::native::vectorized_elementwise_kernel<2, at::native::CUDAFunctorOnSelf_add<long>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<long>, std::array<char*, 2ul>)",3062020841119.806,3.072,15891,aten::add,3062020838149.937,19.619,"[[1], [], []]",nn.Module: LlamaForCausalLM_0;nn.Module: LlamaModel_0,nn.Module: LlamaForCausalLM_0,nn.Module: LlamaModel_0,,,
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, char*, at::native::memory::LoadWithCast<1>, std::array<char*, 2ul>::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, char*, at::native::memory::LoadWithCast<1>, std::array<char*, 2ul>::StoreWithCast<1>)",3062020841124.318,4.736,15897,aten::copy_,3062020838245.68,17.146,"[[1, 131], [1, 131], []]",nn.Module: LlamaForCausalLM_0;nn.Module: LlamaModel_0,nn.Module: LlamaForCausalLM_0,nn.Module: LlamaModel_0,,,
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4, 4> >(at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4, 4>)",3062020841130.526,5.984,15898,aten::all,3062020838336.026,21.091,"[[1, 131]]",nn.Module: LlamaForCausalLM_0;nn.Module: LlamaModel_0,nn.Module: LlamaForCausalLM_0,nn.Module: LlamaModel_0,,,
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, char*, at::native::memory::LoadWithCast<1>, std::array<char*, 2ul>::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, char*, at::native::memory::LoadWithCast<1>, std::array<char*, 2ul>::StoreWithCast<1>)",3062020845998.541,3.808,15916,aten::copy_,3062020841255.695,17.807,"[[1, 1, 1], [1, 1, 1], []]",nn.Module: LlamaForCausalLM_0;nn.Module: LlamaModel_0;nn.Module: LlamaRotaryEmbedding_0,nn.Module: LlamaForCausalLM_0,nn.Module: LlamaModel_0,nn.Module: LlamaRotaryEmbedding_0,,
"void gemmk1_kernel<int, float, 256, 5, true, false, false, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float, 0>(cublasGemmk1Params<float, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float, biasType<cublasGemvTensorStridedBatched<float>::value_type, float>::type>)",3062020846003.565,3.296,15928,aten::bmm,3062020841314.213,56.444,"[[1, 64, 1], [1, 1, 1]]",nn.Module: LlamaForCausalLM_0;nn.Module: LlamaModel_0;nn.Module: LlamaRotaryEmbedding_0,nn.Module: LlamaForCausalLM_0,nn.Module: LlamaModel_0,nn.Module: LlamaRotaryEmbedding_0,,
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_vectorized<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 3, 128, 1, 16, 4>(char*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",3062020846008.205,4.416,15932,aten::cat,3062020841395.695,18.938,"[[[1, 1, 64], [1, 1, 64]], []]",nn.Module: LlamaForCausalLM_0;nn.Module: LlamaModel_0;nn.Module: LlamaRotaryEmbedding_0,nn.Module: LlamaForCausalLM_0,nn.Module: LlamaModel_0,nn.Module: LlamaRotaryEmbedding_0,,
"void at::native::vectorized_elementwise_kernel<4, at::native::cos_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::cos_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",3062020846013.965,3.968,15933,aten::cos,3062020841419.441,13.941,"[[1, 1, 128]]",nn.Module: LlamaForCausalLM_0;nn.Module: LlamaModel_0;nn.Module: LlamaRotaryEmbedding_0,nn.Module: LlamaForCausalLM_0,nn.Module: LlamaModel_0,nn.Module: LlamaRotaryEmbedding_0,,
