cpu_op_name,DRAM Load Accesses,DRAM Store Accesses,L2 Load Accesses,L2 Store Accesses,L2 Read Misses to DRAM,L2 Write Misses to DRAM,L2 Load Hits,L2 Load Misses,L2 Store Hits,L2 Store Misses,SHMEM LD Bytes,SHMEM LDSM Bytes,SHMEM ST Bytes,SHMEM LDGSTS Bytes
aten::mm,413125076,72304,626722538,144064,413064532,0,6271376,413064532,92992,0,540475392,45639049216,907034624,4064365440
aten::_flash_attention_forward,4349292,0,7086228,89729,4272524,0,12842,4272524,60672,0,100691968,855638016,133984256,4702208
aten::cat,4249412,0,6569822,6338429,4227080,0,8,4227080,4227088,0,0,0,0,0
aten::mul,265388,0,1246085,163843,144546,0,8143,144546,104736,0,0,0,0,0
aten::mean,137128,0,882090,1076,33280,0,0,33280,65,0,124800,0,257920,0
aten::copy_,127916,0,705968,76777,50020,0,0,50020,49946,0,0,0,0,0
aten::add,100652,0,387538,49867,65668,0,0,65668,32834,0,0,0,0,0
aten::neg,43792,0,304300,13281,8192,0,0,8192,8192,0,0,0,0,0
aten::pow,42900,0,129912,50937,33280,0,0,33280,33280,0,0,0,0,0
aten::silu,35228,0,140441,36162,22016,0,0,22016,22016,0,0,0,0,0
aten::rsqrt,12936,0,102009,976,130,0,0,130,65,0,0,0,0,0
aten::all,1696,0,13515,16,10,0,0,10,1,0,32,0,96,0
aten::cos,1264,0,9970,31,16,0,0,16,16,0,0,0,0,0
aten::sin,1252,0,9906,31,16,0,0,16,16,0,0,0,0,0
aten::index_select,420,0,1830,423,260,0,30,260,256,0,0,0,0,0
aten::bmm,196,0,1530,21,10,0,1,10,8,0,264,0,264,0
aten::arange,84,0,672,14,0,0,0,0,1,0,0,0,0,0
__unmatched__,0,0,0,0,0,0,0,0,0,0,0,0,0,0
