kernel_name,kernel_ts,kernel_dur,external_id,cpu_op_name,cpu_ts,cpu_dur,input_dims,module_stack,module_level_0,module_level_1,module_level_2,module_level_3,module_level_4
"void at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, long, long, long, bool)",3066164738891.016,6.72,12,aten::gather,3066164736695.054,989.264,"[[32000, 4096], [], [256, 4096], [], [256, 4096]]",nn.Module: LlamaForCausalLM_0;nn.Module: LlamaModel_0;nn.Module: Embedding_0,nn.Module: LlamaForCausalLM_0,nn.Module: LlamaModel_0,nn.Module: Embedding_0,,
"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, function_traits<{lambda(long)#1}>::result_type*)",3066164738899.432,2.464,18,aten::arange,3066164737802.806,20.23,"[[], [], [], [0]]",nn.Module: LlamaForCausalLM_0;nn.Module: LlamaModel_0,nn.Module: LlamaForCausalLM_0,nn.Module: LlamaModel_0,,,
"void at::native::vectorized_elementwise_kernel<2, at::native::CUDAFunctorOnSelf_add<long>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<long>, std::array<char*, 2ul>)",3066164738903.24,2.784,20,aten::add,3066164737837.858,20.501,"[[256], [], []]",nn.Module: LlamaForCausalLM_0;nn.Module: LlamaModel_0,nn.Module: LlamaForCausalLM_0,nn.Module: LlamaModel_0,,,
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, char*, at::native::memory::LoadWithCast<1>, std::array<char*, 2ul>::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, char*, at::native::memory::LoadWithCast<1>, std::array<char*, 2ul>::StoreWithCast<1>)",3066164738907.528,4.768,26,aten::copy_,3066164737955.665,19.289,"[[1, 256], [1, 256], []]",nn.Module: LlamaForCausalLM_0;nn.Module: LlamaModel_0,nn.Module: LlamaForCausalLM_0,nn.Module: LlamaModel_0,,,
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4, 4> >(at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4, 4>)",3066164738914.024,5.568,27,aten::all,3066164738050.437,23.986,"[[1, 256]]",nn.Module: LlamaForCausalLM_0;nn.Module: LlamaModel_0,nn.Module: LlamaForCausalLM_0,nn.Module: LlamaModel_0,,,
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, char*, at::native::memory::LoadWithCast<1>, std::array<char*, 2ul>::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, char*, at::native::memory::LoadWithCast<1>, std::array<char*, 2ul>::StoreWithCast<1>)",3066164741708.958,5.184,45,aten::copy_,3066164739048.805,17.175,"[[1, 1, 256], [1, 1, 256], []]",nn.Module: LlamaForCausalLM_0;nn.Module: LlamaModel_0;nn.Module: LlamaRotaryEmbedding_0,nn.Module: LlamaForCausalLM_0,nn.Module: LlamaModel_0,nn.Module: LlamaRotaryEmbedding_0,,
"void gemmk1_kernel<int, float, 256, 5, false, false, false, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float, 0>(cublasGemmk1Params<float, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float, biasType<cublasGemvTensorStridedBatched<float>::value_type, float>::type>)",3066164741715.87,3.488,57,aten::bmm,3066164739112.41,58.317,"[[1, 64, 1], [1, 1, 256]]",nn.Module: LlamaForCausalLM_0;nn.Module: LlamaModel_0;nn.Module: LlamaRotaryEmbedding_0,nn.Module: LlamaForCausalLM_0,nn.Module: LlamaModel_0,nn.Module: LlamaRotaryEmbedding_0,,
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 3, 64, 64>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 64, 64>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",3066164741720.766,7.04,61,aten::cat,3066164739193.512,18.377,"[[[1, 256, 64], [1, 256, 64]], []]",nn.Module: LlamaForCausalLM_0;nn.Module: LlamaModel_0;nn.Module: LlamaRotaryEmbedding_0,nn.Module: LlamaForCausalLM_0,nn.Module: LlamaModel_0,nn.Module: LlamaRotaryEmbedding_0,,
"void at::native::vectorized_elementwise_kernel<4, at::native::cos_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::cos_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",3066164741729.182,4.159,62,aten::cos,3066164739217.417,14.512,"[[1, 256, 128]]",nn.Module: LlamaForCausalLM_0;nn.Module: LlamaModel_0;nn.Module: LlamaRotaryEmbedding_0,nn.Module: LlamaForCausalLM_0,nn.Module: LlamaModel_0,nn.Module: LlamaRotaryEmbedding_0,,
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",3066164741734.814,2.624,63,aten::mul,3066164739238.419,15.193,"[[1, 256, 128], []]",nn.Module: LlamaForCausalLM_0;nn.Module: LlamaModel_0;nn.Module: LlamaRotaryEmbedding_0,nn.Module: LlamaForCausalLM_0,nn.Module: LlamaModel_0,nn.Module: LlamaRotaryEmbedding_0,,
