cpu_op_name,DRAM Load Accesses,DRAM Store Accesses,L2 Load Accesses,L2 Store Accesses,L2 Read Misses to DRAM,L2 Write Misses to DRAM,L2 Load Hits,L2 Load Misses,L2 Store Hits,L2 Store Misses,SHMEM LD Bytes,SHMEM LDSM Bytes,SHMEM ST Bytes,SHMEM LDGSTS Bytes
aten::mm,546013940,28077340,3675905816,173893370,782236069,0,2667511336,782236069,115920896,0,7413956608,213279965184,9116254208,21121188288
aten::mul,65590792,507972,110061770,80412449,65768734,0,10087489,65768734,53624832,0,0,0,0,0
aten::add,33620664,0,50848654,25136137,33558720,0,0,33558720,16781504,0,0,0,0,0
aten::copy_,25653628,0,39019846,38372034,25575680,0,0,25575680,25567312,0,0,0,0,0
aten::mean,17143188,0,26407818,7662,17039360,0,0,17039360,4164,0,0,0,0,0
aten::pow,17048996,0,25646358,25574777,17039360,0,0,17039360,17039360,0,0,0,0,0
aten::cat,16809428,0,25458282,25185609,16782852,0,5310,16782852,16785408,0,0,0,0,0
aten::_flash_attention_forward,12656036,6068,34701760,10563065,15237120,0,9928704,15237120,6963200,0,134217728,3355443200,134217728,35298112
aten::silu,11285512,2124,16991024,16856459,11272192,0,0,11272192,11272192,0,0,0,0,0
aten::neg,4230016,0,6597388,6272176,4194304,0,0,4194304,4194304,0,0,0,0,0
aten::gather,130880,0,199234,197647,130904,0,1014,130904,131072,0,0,0,0,0
aten::rsqrt,16992,0,110273,5154,4160,0,0,4160,4160,0,0,0,0,0
aten::cos,9440,0,22273,12207,8192,0,0,8192,8192,0,0,0,0,0
aten::sin,9428,0,22208,12207,8192,0,0,8192,8192,0,0,0,0,0
aten::all,1716,0,13550,17,16,0,0,16,1,0,96,0,224,0
aten::bmm,264,0,1936,6135,132,0,124,132,4096,0,135168,0,8192,0
aten::arange,84,0,768,221,0,0,0,0,128,0,0,0,0,0
__unmatched__,0,0,0,0,0,0,0,0,0,0,0,0,0,0
