tp	cp	ep	dp	pp	baseline_runtime	fault_min	fault_max	fault_mean	label
20	1	1	1	3	779.851239	779.851239	1518.434524	1013.863892	tp20-ep1-pp3
4	1	1	1	15	429.708153	448.251159	516.476229	479.179857	tp4-ep1-pp15
5	1	2	1	6	819.085592	819.085592	1227.898674	922.398709	tp5-ep2-pp6
10	1	1	1	6	542.538758	542.538758	808.568917	613.480134	tp10-ep1-pp6
10	1	2	1	3	1172.184328	1172.184328	2314.103626	1586.706994	tp10-ep2-pp3
6	1	1	1	10	461.645066	461.645066	608.361978	507.913568	tp6-ep1-pp10
15	1	2	1	2	1556.882997	1556.882997	4220.754473	1928.004734	tp15-ep2-pp2
15	1	1	1	4	711.736830	711.736830	1181.031910	819.674698	tp15-ep1-pp4
12	1	1	1	5	594.800436	594.800436	957.775799	693.362666	tp12-ep1-pp5
6	1	2	1	5	703.284911	703.284911	1358.502929	796.582987	tp6-ep2-pp5
