tp	cp	ep	dp	pp	baseline_runtime	fault_min	fault_max	fault_mean	label
4	1	1	1	15	429.708153	448.099719	449.870409	448.990966	tp4-ep1-pp15
5	1	2	1	6	819.085592	819.085592	923.064763	841.595940	tp5-ep2-pp6
6	1	2	1	5	703.284911	703.284911	852.904729	730.509035	tp6-ep2-pp5
6	1	1	1	10	461.645066	461.645066	501.201338	478.602003	tp6-ep1-pp10
10	1	2	1	3	1172.184328	1172.184328	1573.859032	1282.644964	tp10-ep2-pp3
10	1	1	1	6	542.538758	542.538758	624.531650	567.136625	tp10-ep1-pp6
12	1	1	1	5	594.800436	594.800436	706.443569	632.358904	tp12-ep1-pp5
15	1	1	1	4	711.736830	711.736830	848.568326	748.225229	tp15-ep1-pp4
15	1	2	1	2	1556.882997	1556.882997	2433.538785	1661.884772	tp15-ep2-pp2
20	1	1	1	3	779.851239	779.851239	1016.646394	853.543624	tp20-ep1-pp3
