tp	cp	ep	dp	pp	baseline_runtime	fault_min	fault_max	fault_mean	label
4	2	1	3	4	121.160046	121.160046	122.109526	121.454293	tp4-cp2-dp3-pp4
3	4	1	2	4	65.820068	65.820068	66.217913	65.930593	tp3-cp4-dp2-pp4
6	2	1	4	2	76.954224	76.954224	82.111990	77.857832	tp6-cp2-dp4-pp2
2	3	1	4	4	120.585701	120.585701	121.099101	120.812743	tp2-cp3-dp4-pp4
8	1	1	3	4	170.461646	170.461646	177.150108	172.735723	tp8-cp1-dp3-pp4
12	1	1	4	2	109.795283	109.795283	116.937079	111.670123	tp12-cp1-dp4-pp2
6	4	1	2	2	77.899930	77.899930	83.526084	79.383005	tp6-cp4-dp2-pp2
4	4	1	3	2	87.533321	88.588918	88.635798	88.613608	tp4-cp4-dp3-pp2
8	2	1	2	3	135.096951	136.083072	143.013846	137.367997	tp8-cp2-dp2-pp3
12	2	1	2	2	105.324507	105.324507	109.245713	106.649755	tp12-cp2-dp2-pp2
4	6	1	1	4	76.219553	76.219553	76.547773	76.337712	tp4-cp6-dp1-pp4
8	3	1	1	4	98.781255	98.781255	99.678535	99.059063	tp8-cp3-dp1-pp4
24	1	1	2	2	144.374096	144.374096	162.170086	150.662013	tp24-cp1-dp2-pp2
16	1	1	2	3	195.976855	196.755265	213.187760	204.752413	tp16-cp1-dp2-pp3
24	1	1	1	4	168.412017	168.412017	177.136126	171.203732	tp24-cp1-dp1-pp4
2	6	1	2	4	59.874569	59.874569	60.487109	60.057406	tp2-cp6-dp2-pp4
2	4	1	3	4	88.108266	88.108266	88.470146	88.231306	tp2-cp4-dp3-pp4
3	2	1	4	4	149.407615	149.407615	151.427172	150.036908	tp3-cp2-dp4-pp4
16	2	1	1	3	151.623496	151.623496	155.214195	152.718237	tp16-cp2-dp1-pp3
4	3	1	4	2	63.450910	63.450910	66.693640	63.803342	tp4-cp3-dp4-pp2
4	3	1	2	4	74.920763	74.920763	75.814843	75.079042	tp4-cp3-dp2-pp4
4	2	1	4	3	113.294230	113.294230	116.885601	114.538948	tp4-cp2-dp4-pp3
3	8	1	1	4	81.165272	81.165272	82.434992	81.448924	tp3-cp8-dp1-pp4
6	2	1	2	4	89.782414	89.782414	90.937620	90.031089	tp6-cp2-dp2-pp4
6	1	1	4	4	213.213799	213.213799	220.100151	214.715918	tp6-cp1-dp4-pp4
