tp	cp	ep	dp	pp	baseline_runtime	fault_min	fault_max	fault_mean	label
4	2	1	3	4	121.160046	121.160046	122.323906	121.535750	tp4-cp2-dp3-pp4
3	4	1	2	4	65.820068	65.820068	66.400793	65.955283	tp3-cp4-dp2-pp4
6	2	1	4	2	76.954224	76.954224	79.840098	77.668895	tp6-cp2-dp4-pp2
2	3	1	4	4	120.585701	120.585701	121.308501	120.888527	tp2-cp3-dp4-pp4
8	1	1	3	4	170.461646	170.461646	177.701014	172.609325	tp8-cp1-dp3-pp4
12	1	1	4	2	109.795283	109.795283	118.022999	112.433428	tp12-cp1-dp4-pp2
6	4	1	2	2	77.899930	77.899930	84.650204	79.247467	tp6-cp4-dp2-pp2
4	4	1	3	2	87.533321	88.620318	89.121318	88.877498	tp4-cp4-dp3-pp2
8	2	1	2	3	135.096951	136.479378	139.943946	137.602105	tp8-cp2-dp2-pp3
12	2	1	2	2	105.324507	105.324507	111.451233	107.040259	tp12-cp2-dp2-pp2
4	6	1	1	4	76.219553	76.219553	76.542493	76.316435	tp4-cp6-dp1-pp4
8	3	1	1	4	98.781255	98.781255	99.889395	99.055765	tp8-cp3-dp1-pp4
24	1	1	2	2	144.374096	144.374096	163.832326	151.508780	tp24-cp1-dp2-pp2
16	1	1	2	3	195.976855	203.196435	214.819586	209.240474	tp16-cp1-dp2-pp3
24	1	1	1	4	168.412017	168.412017	178.304166	171.907243	tp24-cp1-dp1-pp4
2	6	1	2	4	59.874569	59.874569	60.452449	60.032425	tp2-cp6-dp2-pp4
2	4	1	3	4	88.108266	88.108266	88.507486	88.220048	tp2-cp4-dp3-pp4
3	2	1	4	4	149.407615	149.407615	151.877992	150.064575	tp3-cp2-dp4-pp4
16	2	1	1	3	151.623496	151.623496	158.616195	153.582353	tp16-cp2-dp1-pp3
4	3	1	4	2	63.450910	63.450910	65.342640	63.801291	tp4-cp3-dp4-pp2
4	3	1	2	4	74.920763	74.920763	75.592163	75.061248	tp4-cp3-dp2-pp4
4	2	1	4	3	113.294230	113.294230	118.334178	114.879676	tp4-cp2-dp4-pp3
3	8	1	1	4	81.165272	81.165272	82.163492	81.447366	tp3-cp8-dp1-pp4
6	2	1	2	4	89.782414	89.782414	90.571060	90.037941	tp6-cp2-dp2-pp4
6	1	1	4	4	213.213799	213.213799	220.351018	216.118051	tp6-cp1-dp4-pp4
