tp	cp	ep	dp	pp	baseline_runtime	fault_min	fault_max	fault_mean	label
24	1	1	1	4	168.412017	168.412017	235.362257	192.067768	tp24-cp1-dp1-pp4
6	2	1	4	2	76.954224	76.954224	104.028630	82.444399	tp6-cp2-dp4-pp2
4	6	1	1	4	76.219553	76.219553	77.603673	76.694768	tp4-cp6-dp1-pp4
16	3	1	2	1	115.999154	115.999154	256.649474	141.544260	tp16-cp3-dp2-pp1
24	1	1	4	1	112.272571	112.272571	197.990571	135.416431	tp24-cp1-dp4-pp1
8	1	1	3	4	170.461646	170.461646	210.150108	183.294249	tp8-cp1-dp3-pp4
12	4	1	1	2	107.568100	107.568100	133.733315	118.129062	tp12-cp4-dp1-pp2
2	3	1	4	4	120.585701	120.585701	125.548689	122.217122	tp2-cp3-dp4-pp4
3	4	1	2	4	65.820068	65.820068	68.051112	66.289699	tp3-cp4-dp2-pp4
4	2	1	3	4	121.160046	121.160046	140.252123	126.616834	tp4-cp2-dp3-pp4
4	4	1	3	2	87.533321	93.942087	96.008367	94.961452	tp4-cp4-dp3-pp2
6	8	1	1	2	81.290219	81.290219	88.702573	83.909251	tp6-cp8-dp1-pp2
8	2	1	2	3	135.096951	142.421205	183.046917	153.414604	tp8-cp2-dp2-pp3
8	3	1	1	4	98.781255	98.781255	106.551304	100.913796	tp8-cp3-dp1-pp4
8	3	1	4	1	61.618940	61.618940	85.763900	69.018441	tp8-cp3-dp4-pp1
8	6	1	2	1	68.242113	68.242113	133.507553	91.284204	tp8-cp6-dp2-pp1
12	1	1	4	2	109.795283	109.795283	143.437559	120.128977	tp12-cp1-dp4-pp2
16	1	1	2	3	195.976855	205.933182	273.684716	243.196526	tp16-cp1-dp2-pp3
16	2	1	1	3	151.623496	151.623496	194.066338	167.386128	tp16-cp2-dp1-pp3
16	6	1	1	1	98.833622	98.833622	155.440182	120.142664	tp16-cp6-dp1-pp1
6	4	1	2	2	77.899930	77.899930	114.946463	88.944485	tp6-cp4-dp2-pp2
12	2	1	2	2	105.324507	105.324507	137.327532	115.385683	tp12-cp2-dp2-pp2
12	2	1	4	1	81.066149	81.066149	121.184549	95.004306	tp12-cp2-dp4-pp1
24	1	1	2	2	144.374096	144.374096	221.930246	169.450585	tp24-cp1-dp2-pp2
24	2	1	1	2	163.187641	163.187641	237.908856	190.156163	tp24-cp2-dp1-pp2
