tp	cp	ep	dp	pp	baseline_runtime	fault_min	fault_max	fault_mean	label
24	1	1	1	4	168.412017	168.412017	178.304166	171.775348	tp24-cp1-dp1-pp4
6	2	1	4	2	76.954224	76.954224	79.840098	77.716092	tp6-cp2-dp4-pp2
4	6	1	1	4	76.219553	76.219553	76.542493	76.326123	tp4-cp6-dp1-pp4
16	3	1	2	1	115.999154	115.999154	140.144674	120.153997	tp16-cp3-dp2-pp1
24	1	1	4	1	112.272571	112.272571	139.854091	121.190596	tp24-cp1-dp4-pp1
8	1	1	3	4	170.461646	170.461646	177.701014	172.754113	tp8-cp1-dp3-pp4
12	4	1	1	2	107.568100	107.568100	111.361540	108.786878	tp12-cp4-dp1-pp2
2	3	1	4	4	120.585701	120.585701	121.308501	120.853402	tp2-cp3-dp4-pp4
3	4	1	2	4	65.820068	65.820068	66.400793	65.942310	tp3-cp4-dp2-pp4
4	2	1	3	4	121.160046	121.160046	122.323906	121.524154	tp4-cp2-dp3-pp4
4	4	1	3	2	87.533321	88.620318	89.121318	88.872488	tp4-cp4-dp3-pp2
6	8	1	1	2	81.290219	81.290219	82.445859	81.733214	tp6-cp8-dp1-pp2
8	2	1	2	3	135.096951	136.479378	139.943946	137.586226	tp8-cp2-dp2-pp3
8	3	1	1	4	98.781255	98.781255	99.889395	99.056629	tp8-cp3-dp1-pp4
8	3	1	4	1	61.618940	61.618940	70.482860	64.197060	tp8-cp3-dp4-pp1
8	6	1	2	1	68.242113	68.242113	87.588513	75.203593	tp8-cp6-dp2-pp1
12	1	1	4	2	109.795283	109.795283	118.022999	112.612070	tp12-cp1-dp4-pp2
16	1	1	2	3	195.976855	203.196435	214.819586	209.434193	tp16-cp1-dp2-pp3
16	2	1	1	3	151.623496	151.623496	158.616195	153.517727	tp16-cp2-dp1-pp3
16	6	1	1	1	98.833622	98.833622	118.476502	105.829994	tp16-cp6-dp1-pp1
6	4	1	2	2	77.899930	77.899930	84.650204	79.267377	tp6-cp4-dp2-pp2
12	2	1	2	2	105.324507	105.324507	111.451233	107.380337	tp12-cp2-dp2-pp2
12	2	1	4	1	81.066149	81.066149	94.373029	85.170448	tp12-cp2-dp4-pp1
24	1	1	2	2	144.374096	144.374096	163.832326	151.249337	tp24-cp1-dp2-pp2
24	2	1	1	2	163.187641	163.187641	178.166755	167.708890	tp24-cp2-dp1-pp2
