num_gpus	runtime_s	prefill_time_s	decode_time_s	performance_1_over_s	total_flops	achieved_flops_per_s	peak_flops_per_gpu	mfu	memory_exceeded	memory_violation_gb	eval_wall_time_s	parallelism
1024	57.612957	nan	nan	0.017357	6.861550e+18	1.190973e+17	3.118694e+14	0.372932	False	0.000000	41.697995	{'tp': 16, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	108.518911	nan	nan	0.009215	6.861550e+18	6.322907e+16	3.118694e+14	0.395981	True	19.932831	42.202848	{'tp': 8, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	128.347504	nan	nan	0.007791	6.861550e+18	5.346072e+16	3.118694e+14	0.167403	False	0.000000	44.636785	{'tp': 8, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	68.034629	nan	nan	0.014698	6.861550e+18	1.008538e+17	3.118694e+14	0.315805	False	0.000000	45.225952	{'tp': 16, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	68.031487	nan	nan	0.014699	6.861550e+18	1.008584e+17	3.118694e+14	0.157910	False	0.000000	45.883563	{'tp': 16, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	44.034233	nan	nan	0.022710	6.861550e+18	1.558231e+17	3.118694e+14	0.243966	False	0.000000	45.991962	{'tp': 32, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	128.350680	nan	nan	0.007791	6.861550e+18	5.345940e+16	3.118694e+14	0.334797	False	0.000000	46.868515	{'tp': 8, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	49.297696	nan	nan	0.020285	6.861550e+18	1.391860e+17	3.118694e+14	0.217918	False	0.000000	55.081891	{'tp': 32, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	73.764931	nan	nan	0.013557	6.861550e+18	9.301914e+16	3.118694e+14	0.582545	True	20.429916	63.952784	{'tp': 16, 'cp': 1, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	112.005632	nan	nan	0.008928	6.861550e+18	6.126076e+16	3.118694e+14	0.383654	False	0.000000	66.753788	{'tp': 16, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	60.001104	nan	nan	0.016666	6.861550e+18	1.143571e+17	3.118694e+14	0.358088	False	0.000000	69.003156	{'tp': 32, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	39.688538	nan	nan	0.025196	6.861550e+18	1.728849e+17	3.118694e+14	0.541358	False	0.000000	69.562944	{'tp': 32, 'cp': 1, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	134.607443	nan	nan	0.007429	6.861550e+18	5.097452e+16	3.118694e+14	0.319235	False	0.000000	70.235177	{'tp': 16, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 8, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	74.343165	nan	nan	0.013451	6.861550e+18	9.229564e+16	3.118694e+14	0.289007	False	0.000000	81.166036	{'tp': 32, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 8, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	39.322305	nan	nan	0.025431	6.861550e+18	1.744951e+17	3.118694e+14	0.546400	True	17.217400	39.847385	{'tp': 16, 'cp': 1, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	71.882590	nan	nan	0.013912	6.861550e+18	9.545497e+16	3.118694e+14	0.597800	True	113.425522	43.121270	{'tp': 8, 'cp': 1, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	34.525321	nan	nan	0.028964	6.861550e+18	1.987396e+17	3.118694e+14	0.311159	False	0.000000	42.848368	{'tp': 32, 'cp': 1, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	57.574300	nan	nan	0.017369	6.861550e+18	1.191773e+17	3.118694e+14	0.186591	False	0.000000	43.033153	{'tp': 16, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	108.517990	nan	nan	0.009215	6.861550e+18	6.322961e+16	3.118694e+14	0.197992	True	17.718124	43.885923	{'tp': 8, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
4096	43.995614	nan	nan	0.022730	6.861550e+18	1.559599e+17	3.118694e+14	0.122090	False	0.000000	47.112818	{'tp': 32, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
4096	49.217896	nan	nan	0.020318	6.861550e+18	1.394117e+17	3.118694e+14	0.109136	False	0.000000	55.960789	{'tp': 32, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	128.342920	nan	nan	0.007792	6.861550e+18	5.346263e+16	3.118694e+14	0.083704	False	0.000000	46.733901	{'tp': 8, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
