num_gpus	runtime_s	prefill_time_s	decode_time_s	performance_1_over_s	total_flops	achieved_flops_per_s	peak_flops_per_gpu	mfu	memory_exceeded	memory_violation_gb	eval_wall_time_s	parallelism
1024	55.949161	nan	nan	0.017873	6.861550e+18	1.226390e+17	3.118694e+14	0.384022	False	0.000000	41.200807	{'tp': 16, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	107.991708	nan	nan	0.009260	6.861550e+18	6.353775e+16	3.118694e+14	0.397914	True	19.932831	41.278023	{'tp': 8, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	127.489265	nan	nan	0.007844	6.861550e+18	5.382061e+16	3.118694e+14	0.337059	False	0.000000	43.845450	{'tp': 8, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	67.181362	nan	nan	0.014885	6.861550e+18	1.021347e+17	3.118694e+14	0.319816	False	0.000000	44.564213	{'tp': 16, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	127.489175	nan	nan	0.007844	6.861550e+18	5.382065e+16	3.118694e+14	0.168530	False	0.000000	44.957615	{'tp': 8, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	29.907377	nan	nan	0.033437	6.861550e+18	2.294267e+17	3.118694e+14	0.359204	False	0.000000	45.555693	{'tp': 32, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	67.181274	nan	nan	0.014885	6.861550e+18	1.021349e+17	3.118694e+14	0.159908	False	0.000000	46.244372	{'tp': 16, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	37.003643	nan	nan	0.027024	6.861550e+18	1.854290e+17	3.118694e+14	0.290319	False	0.000000	54.727642	{'tp': 32, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	73.404445	nan	nan	0.013623	6.861550e+18	9.347595e+16	3.118694e+14	0.585406	True	20.429916	64.051228	{'tp': 16, 'cp': 1, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	38.736928	nan	nan	0.025815	6.861550e+18	1.771320e+17	3.118694e+14	0.554657	False	0.000000	64.161212	{'tp': 32, 'cp': 1, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	111.456540	nan	nan	0.008972	6.861550e+18	6.156256e+16	3.118694e+14	0.385544	False	0.000000	65.291638	{'tp': 16, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	59.454049	nan	nan	0.016820	6.861550e+18	1.154093e+17	3.118694e+14	0.361383	False	0.000000	68.254134	{'tp': 32, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	133.754486	nan	nan	0.007476	6.861550e+18	5.129959e+16	3.118694e+14	0.321271	False	0.000000	69.911880	{'tp': 16, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 8, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	73.493625	nan	nan	0.013607	6.861550e+18	9.336252e+16	3.118694e+14	0.292348	False	0.000000	79.365350	{'tp': 32, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 8, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	71.541077	nan	nan	0.013978	6.861550e+18	9.591063e+16	3.118694e+14	0.600653	True	113.425522	41.878168	{'tp': 8, 'cp': 1, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	36.846979	nan	nan	0.027139	6.861550e+18	1.862174e+17	3.118694e+14	0.583106	True	17.217400	40.645484	{'tp': 16, 'cp': 1, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	19.486257	nan	nan	0.051318	6.861550e+18	3.521225e+17	3.118694e+14	0.551304	False	0.000000	40.751807	{'tp': 32, 'cp': 1, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	55.949164	nan	nan	0.017873	6.861550e+18	1.226390e+17	3.118694e+14	0.192011	False	0.000000	42.765917	{'tp': 16, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	107.991711	nan	nan	0.009260	6.861550e+18	6.353775e+16	3.118694e+14	0.198957	True	17.718124	45.278625	{'tp': 8, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
