num_gpus	runtime_s	prefill_time_s	decode_time_s	performance_1_over_s	total_flops	achieved_flops_per_s	peak_flops_per_gpu	mfu	memory_exceeded	memory_violation_gb	eval_wall_time_s	parallelism
256	329.896217	nan	nan	0.003031	6.861550e+18	2.079912e+16	3.118694e+14	0.260515	False	0.000000	96.003481	{'tp': 8, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	209.318550	nan	nan	0.004777	6.861550e+18	3.278042e+16	3.118694e+14	0.205292	False	0.000000	130.679256	{'tp': 16, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	148.997710	nan	nan	0.006712	6.861550e+18	4.605138e+16	3.118694e+14	0.144202	False	0.000000	243.660888	{'tp': 32, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	118.941205	nan	nan	0.008408	6.861550e+18	5.768859e+16	3.118694e+14	0.090321	False	0.000000	784.557775	{'tp': 64, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	472.858069	nan	nan	0.002115	6.861550e+18	1.451080e+16	3.118694e+14	0.363504	False	0.000000	393.850844	{'tp': 32, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	265.947634	nan	nan	0.003760	6.861550e+18	2.580038e+16	3.118694e+14	0.323157	False	0.000000	428.004101	{'tp': 64, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	533.134427	nan	nan	0.001876	6.861550e+18	1.287021e+16	3.118694e+14	0.322406	False	0.000000	225.659961	{'tp': 16, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	292.246413	nan	nan	0.003422	6.861550e+18	2.347865e+16	3.118694e+14	0.294076	False	0.000000	221.337290	{'tp': 32, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	172.346951	nan	nan	0.005802	6.861550e+18	3.981243e+16	3.118694e+14	0.249331	False	0.000000	275.644368	{'tp': 64, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	555.868161	nan	nan	0.001799	6.861550e+18	1.234384e+16	3.118694e+14	0.309220	False	0.000000	124.604053	{'tp': 8, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	301.828806	nan	nan	0.003313	6.861550e+18	2.273325e+16	3.118694e+14	0.284740	False	0.000000	126.009114	{'tp': 16, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	174.750223	nan	nan	0.005722	6.861550e+18	3.926490e+16	3.118694e+14	0.245902	False	0.000000	143.615942	{'tp': 32, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	111.473921	nan	nan	0.008971	6.861550e+18	6.155296e+16	3.118694e+14	0.192742	False	0.000000	248.410294	{'tp': 64, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	554.234912	nan	nan	0.001804	6.861550e+18	1.238022e+16	3.118694e+14	0.310131	False	0.000000	82.047945	{'tp': 4, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	299.949078	nan	nan	0.003334	6.861550e+18	2.287572e+16	3.118694e+14	0.286525	False	0.000000	79.192088	{'tp': 8, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	172.840259	nan	nan	0.005786	6.861550e+18	3.969880e+16	3.118694e+14	0.248619	False	0.000000	91.980798	{'tp': 16, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	109.252106	nan	nan	0.009153	6.861550e+18	6.280474e+16	3.118694e+14	0.196662	False	0.000000	144.489260	{'tp': 32, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	77.567639	nan	nan	0.012892	6.861550e+18	8.845893e+16	3.118694e+14	0.138497	False	0.000000	382.750102	{'tp': 64, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	553.919874	nan	nan	0.001805	6.861550e+18	1.238726e+16	3.118694e+14	0.310308	False	0.000000	61.576202	{'tp': 2, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	286.265789	nan	nan	0.003493	6.861550e+18	2.396916e+16	3.118694e+14	0.300220	False	0.000000	60.747954	{'tp': 4, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	165.496920	nan	nan	0.006042	6.861550e+18	4.146029e+16	3.118694e+14	0.259651	False	0.000000	72.156780	{'tp': 8, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
