num_gpus	runtime_s	prefill_time_s	decode_time_s	performance_1_over_s	total_flops	achieved_flops_per_s	peak_flops_per_gpu	mfu	memory_exceeded	memory_violation_gb	eval_wall_time_s	parallelism
128	572.070020	nan	nan	0.001748	6.861550e+18	1.199425e+16	3.118694e+14	0.300462	False	0.000000	90.404511	{'tp': 4, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	330.849984	nan	nan	0.003023	6.861550e+18	2.073916e+16	3.118694e+14	0.259764	False	0.000000	97.504448	{'tp': 8, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	210.272317	nan	nan	0.004756	6.861550e+18	3.263173e+16	3.118694e+14	0.204361	False	0.000000	134.435605	{'tp': 16, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	345.993015	nan	nan	0.002890	6.861550e+18	1.983147e+16	3.118694e+14	0.248395	False	0.000000	147.308420	{'tp': 16, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	604.126174	nan	nan	0.001655	6.861550e+18	1.135781e+16	3.118694e+14	0.284519	False	0.000000	227.108282	{'tp': 16, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	218.879951	nan	nan	0.004569	6.861550e+18	3.134846e+16	3.118694e+14	0.196324	False	0.000000	230.716879	{'tp': 32, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	350.006068	nan	nan	0.002857	6.861550e+18	1.960409e+16	3.118694e+14	0.245547	False	0.000000	238.697144	{'tp': 32, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	149.951477	nan	nan	0.006669	6.861550e+18	4.575847e+16	3.118694e+14	0.143284	False	0.000000	249.390374	{'tp': 32, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	556.485703	nan	nan	0.001797	6.861550e+18	1.233015e+16	3.118694e+14	0.308877	False	0.000000	125.024021	{'tp': 8, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	533.626153	nan	nan	0.001874	6.861550e+18	1.285835e+16	3.118694e+14	0.322109	False	0.000000	218.880376	{'tp': 16, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
