num_gpus	runtime_s	prefill_time_s	decode_time_s	performance_1_over_s	total_flops	achieved_flops_per_s	peak_flops_per_gpu	mfu	memory_exceeded	memory_violation_gb	eval_wall_time_s	parallelism
128	571.434176	nan	nan	0.001750	6.861550e+18	1.200759e+16	3.118694e+14	0.300797	False	0.000000	88.311040	{'tp': 4, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	330.214140	nan	nan	0.003028	6.861550e+18	2.077909e+16	3.118694e+14	0.260264	False	0.000000	96.905508	{'tp': 8, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	599.475580	nan	nan	0.001668	6.861550e+18	1.144592e+16	3.118694e+14	0.286727	False	0.000000	130.997029	{'tp': 8, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	209.636473	nan	nan	0.004770	6.861550e+18	3.273071e+16	3.118694e+14	0.204981	False	0.000000	131.463493	{'tp': 16, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	345.367263	nan	nan	0.002895	6.861550e+18	1.986740e+16	3.118694e+14	0.248845	False	0.000000	142.750318	{'tp': 16, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	218.254199	nan	nan	0.004582	6.861550e+18	3.143834e+16	3.118694e+14	0.196887	False	0.000000	194.946669	{'tp': 32, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	603.520607	nan	nan	0.001657	6.861550e+18	1.136921e+16	3.118694e+14	0.284805	False	0.000000	223.212799	{'tp': 16, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	349.400501	nan	nan	0.002862	6.861550e+18	1.963807e+16	3.118694e+14	0.245972	False	0.000000	241.516715	{'tp': 32, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	149.315633	nan	nan	0.006697	6.861550e+18	4.595333e+16	3.118694e+14	0.143894	False	0.000000	245.880620	{'tp': 32, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	556.068067	nan	nan	0.001798	6.861550e+18	1.233941e+16	3.118694e+14	0.309109	False	0.000000	127.482054	{'tp': 8, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	302.028165	nan	nan	0.003311	6.861550e+18	2.271825e+16	3.118694e+14	0.284552	False	0.000000	125.334761	{'tp': 16, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	533.294618	nan	nan	0.001875	6.861550e+18	1.286634e+16	3.118694e+14	0.322309	False	0.000000	214.781448	{'tp': 16, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	292.406518	nan	nan	0.003420	6.861550e+18	2.346579e+16	3.118694e+14	0.293915	False	0.000000	218.939440	{'tp': 32, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	554.499431	nan	nan	0.001803	6.861550e+18	1.237431e+16	3.118694e+14	0.309983	False	0.000000	80.587375	{'tp': 4, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	300.211009	nan	nan	0.003331	6.861550e+18	2.285576e+16	3.118694e+14	0.286275	False	0.000000	79.282569	{'tp': 8, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	174.949309	nan	nan	0.005716	6.861550e+18	3.922022e+16	3.118694e+14	0.245622	False	0.000000	145.785612	{'tp': 32, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	222.914833	nan	nan	0.004486	6.861550e+18	3.078104e+16	3.118694e+14	0.192770	False	0.000000	350.659516	{'tp': 64, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	173.100895	nan	nan	0.005777	6.861550e+18	3.963902e+16	3.118694e+14	0.248245	False	0.000000	94.176204	{'tp': 16, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	554.298847	nan	nan	0.001804	6.861550e+18	1.237879e+16	3.118694e+14	0.310096	False	0.000000	62.197381	{'tp': 2, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	286.648816	nan	nan	0.003489	6.861550e+18	2.393713e+16	3.118694e+14	0.299819	False	0.000000	60.853601	{'tp': 4, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	472.975107	nan	nan	0.002114	6.861550e+18	1.450721e+16	3.118694e+14	0.363414	False	0.000000	392.877419	{'tp': 32, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	172.507013	nan	nan	0.005797	6.861550e+18	3.977549e+16	3.118694e+14	0.249099	False	0.000000	264.871059	{'tp': 64, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	165.874369	nan	nan	0.006029	6.861550e+18	4.136595e+16	3.118694e+14	0.259060	False	0.000000	71.232585	{'tp': 8, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	584.571321	nan	nan	0.001711	6.861550e+18	1.173775e+16	3.118694e+14	0.294037	False	0.000000	400.302895	{'tp': 32, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	109.512096	nan	nan	0.009131	6.861550e+18	6.265564e+16	3.118694e+14	0.196195	False	0.000000	145.853223	{'tp': 32, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	266.064601	nan	nan	0.003758	6.861550e+18	2.578904e+16	3.118694e+14	0.323015	False	0.000000	419.630782	{'tp': 64, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	154.960652	nan	nan	0.006453	6.861550e+18	4.427931e+16	3.118694e+14	0.138653	False	0.000000	425.945031	{'tp': 64, 'cp': 1, 'pp': 16, 'mb': 16, 'tp_sp': True, 'train': {'dp': 1, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	105.502180	nan	nan	0.009478	6.861550e+18	6.503705e+16	3.118694e+14	0.203652	False	0.000000	109.558040	{'tp': 16, 'cp': 1, 'pp': 32, 'mb': 32, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	111.672870	nan	nan	0.008955	6.861550e+18	6.144330e+16	3.118694e+14	0.192399	False	0.000000	254.800171	{'tp': 64, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 2, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	507.720773	nan	nan	0.001970	6.861550e+18	1.351442e+16	3.118694e+14	0.338544	False	0.000000	121.262044	{'tp': 8, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	278.461810	nan	nan	0.003591	6.861550e+18	2.464090e+16	3.118694e+14	0.308634	False	0.000000	73.302436	{'tp': 8, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	532.680608	nan	nan	0.001877	6.861550e+18	1.288117e+16	3.118694e+14	0.322680	False	0.000000	76.602479	{'tp': 4, 'cp': 1, 'pp': 8, 'mb': 8, 'tp_sp': True, 'train': {'dp': 4, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
