num_gpus	runtime_s	prefill_time_s	decode_time_s	performance_1_over_s	total_flops	achieved_flops_per_s	peak_flops_per_gpu	mfu	memory_exceeded	memory_violation_gb	eval_wall_time_s	parallelism
1024	56.114255	nan	nan	0.017821	6.861550e+18	1.222782e+17	3.118694e+14	0.382892	False	0.000000	41.915628	{'tp': 16, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	108.158193	nan	nan	0.009246	6.861550e+18	6.343995e+16	3.118694e+14	0.397301	True	19.932831	43.241079	{'tp': 8, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	127.761291	nan	nan	0.007827	6.861550e+18	5.370602e+16	3.118694e+14	0.336341	False	0.000000	44.126975	{'tp': 8, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	127.760226	nan	nan	0.007827	6.861550e+18	5.370646e+16	3.118694e+14	0.168172	False	0.000000	44.718539	{'tp': 8, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	30.071777	nan	nan	0.033254	6.861550e+18	2.281724e+17	3.118694e+14	0.357240	False	0.000000	45.427218	{'tp': 32, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	67.449763	nan	nan	0.014826	6.861550e+18	1.017283e+17	3.118694e+14	0.159272	False	0.000000	45.557824	{'tp': 16, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	67.450815	nan	nan	0.014826	6.861550e+18	1.017267e+17	3.118694e+14	0.318539	False	0.000000	45.801901	{'tp': 16, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	37.271809	nan	nan	0.026830	6.861550e+18	1.840949e+17	3.118694e+14	0.288230	False	0.000000	54.445742	{'tp': 32, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	73.518283	nan	nan	0.013602	6.861550e+18	9.333121e+16	3.118694e+14	0.584499	True	20.429916	64.598566	{'tp': 16, 'cp': 1, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	111.629937	nan	nan	0.008958	6.861550e+18	6.146694e+16	3.118694e+14	0.384945	False	0.000000	64.882941	{'tp': 16, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	38.850418	nan	nan	0.025740	6.861550e+18	1.766146e+17	3.118694e+14	0.553036	False	0.000000	65.659013	{'tp': 32, 'cp': 1, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	134.023840	nan	nan	0.007461	6.861550e+18	5.119649e+16	3.118694e+14	0.320625	False	0.000000	68.455367	{'tp': 16, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 8, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	59.626803	nan	nan	0.016771	6.861550e+18	1.150749e+17	3.118694e+14	0.360336	False	0.000000	69.713594	{'tp': 32, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	73.761901	nan	nan	0.013557	6.861550e+18	9.302296e+16	3.118694e+14	0.291284	False	0.000000	79.425422	{'tp': 32, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 8, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	36.954104	nan	nan	0.027061	6.861550e+18	1.856776e+17	3.118694e+14	0.581416	True	17.217400	40.342757	{'tp': 16, 'cp': 1, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	71.648923	nan	nan	0.013957	6.861550e+18	9.576627e+16	3.118694e+14	0.599749	True	113.425522	42.573213	{'tp': 8, 'cp': 1, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	19.786527	nan	nan	0.050539	6.861550e+18	3.467789e+17	3.118694e+14	0.542938	False	0.000000	41.564689	{'tp': 32, 'cp': 1, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	56.113970	nan	nan	0.017821	6.861550e+18	1.222788e+17	3.118694e+14	0.191447	False	0.000000	43.205955	{'tp': 16, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	108.157905	nan	nan	0.009246	6.861550e+18	6.344012e+16	3.118694e+14	0.198651	True	17.718124	43.857093	{'tp': 8, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
4096	30.071493	nan	nan	0.033254	6.861550e+18	2.281746e+17	3.118694e+14	0.178622	False	0.000000	47.636001	{'tp': 32, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
4096	37.270763	nan	nan	0.026831	6.861550e+18	1.841001e+17	3.118694e+14	0.144119	False	0.000000	55.495364	{'tp': 32, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	127.758282	nan	nan	0.007827	6.861550e+18	5.370728e+16	3.118694e+14	0.084087	False	0.000000	48.670460	{'tp': 8, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
4096	67.447840	nan	nan	0.014826	6.861550e+18	1.017312e+17	3.118694e+14	0.079638	False	0.000000	48.181006	{'tp': 16, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 64, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	77.343677	nan	nan	0.012929	6.861550e+18	8.871507e+16	3.118694e+14	0.555590	False	0.000000	114.577178	{'tp': 32, 'cp': 1, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	118.702739	nan	nan	0.008424	6.861550e+18	5.780448e+16	3.118694e+14	0.362008	False	0.000000	123.788381	{'tp': 32, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 8, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	115.362601	nan	nan	0.008668	6.861550e+18	5.947812e+16	3.118694e+14	0.372490	False	0.000000	63.703809	{'tp': 8, 'cp': 2, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 8, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	58.218120	nan	nan	0.017177	6.861550e+18	1.178594e+17	3.118694e+14	0.369055	False	0.000000	42.858772	{'tp': 8, 'cp': 2, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	95.523860	nan	nan	0.010469	6.861550e+18	7.183075e+16	3.118694e+14	0.449850	True	25.182281	59.373109	{'tp': 8, 'cp': 2, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	52.881928	nan	nan	0.018910	6.861550e+18	1.297523e+17	3.118694e+14	0.406296	False	0.000000	63.121592	{'tp': 16, 'cp': 2, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	65.947089	nan	nan	0.015164	6.861550e+18	1.040463e+17	3.118694e+14	0.325802	False	0.000000	73.862776	{'tp': 16, 'cp': 2, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 8, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	33.935377	nan	nan	0.029468	6.861550e+18	2.021946e+17	3.118694e+14	0.316568	False	0.000000	53.173805	{'tp': 16, 'cp': 2, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	105.141565	nan	nan	0.009511	6.861550e+18	6.526011e+16	3.118694e+14	0.408700	False	0.000000	102.823651	{'tp': 16, 'cp': 2, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 8, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	62.780567	nan	nan	0.015928	6.861550e+18	1.092942e+17	3.118694e+14	0.684470	True	118.652039	58.555172	{'tp': 8, 'cp': 2, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	48.144642	nan	nan	0.020771	6.861550e+18	1.425195e+17	3.118694e+14	0.446274	True	19.838211	39.246612	{'tp': 8, 'cp': 2, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	31.541495	nan	nan	0.031704	6.861550e+18	2.175404e+17	3.118694e+14	0.340594	False	0.000000	89.314042	{'tp': 32, 'cp': 2, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	68.302813	nan	nan	0.014641	6.861550e+18	1.004578e+17	3.118694e+14	0.629131	True	25.656433	97.210338	{'tp': 16, 'cp': 2, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 16, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	34.353669	nan	nan	0.029109	6.861550e+18	1.997327e+17	3.118694e+14	0.625427	True	19.830658	59.499426	{'tp': 16, 'cp': 2, 'pp': 1, 'mb': 1, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
2048	28.208861	nan	nan	0.035450	6.861550e+18	2.432409e+17	3.118694e+14	0.380832	False	0.000000	42.728263	{'tp': 16, 'cp': 2, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 32, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
1024	62.540439	nan	nan	0.015990	6.861550e+18	1.097138e+17	3.118694e+14	0.343549	False	0.000000	125.824409	{'tp': 32, 'cp': 2, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 8, 'ep': 1, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
