num_gpus	runtime_s	prefill_time_s	decode_time_s	performance_1_over_s	total_flops	achieved_flops_per_s	peak_flops_per_gpu	mfu	memory_exceeded	memory_violation_gb	eval_wall_time_s	parallelism
256	46.439152	nan	nan	0.021534	3.913413e+17	8.426970e+15	3.118694e+14	0.105550	False	0.000000	63.922136	{'tp': 2, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 2, 'ep': 16, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	46.616051	nan	nan	0.021452	3.913413e+17	8.394991e+15	3.118694e+14	0.105150	False	0.000000	75.424689	{'tp': 2, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 1, 'ep': 32, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	68.930723	nan	nan	0.014507	3.913413e+17	5.677314e+15	3.118694e+14	0.142220	False	0.000000	81.364634	{'tp': 2, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 2, 'ep': 8, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	39.053355	nan	nan	0.025606	3.913413e+17	1.002068e+16	3.118694e+14	0.125512	False	0.000000	81.469532	{'tp': 4, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 2, 'ep': 16, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	59.192331	nan	nan	0.016894	3.913413e+17	6.611352e+15	3.118694e+14	0.165618	False	0.000000	82.406753	{'tp': 2, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 2, 'ep': 16, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	69.518753	nan	nan	0.014385	3.913413e+17	5.629292e+15	3.118694e+14	0.141017	False	0.000000	84.842231	{'tp': 2, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 1, 'ep': 16, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	45.054993	nan	nan	0.022195	3.913413e+17	8.685860e+15	3.118694e+14	0.108793	False	0.000000	89.666992	{'tp': 4, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 2, 'ep': 8, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	45.815133	nan	nan	0.021827	3.913413e+17	8.541748e+15	3.118694e+14	0.106988	False	0.000000	90.660117	{'tp': 4, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 1, 'ep': 16, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	59.433367	nan	nan	0.016826	3.913413e+17	6.584539e+15	3.118694e+14	0.164946	False	0.000000	92.933163	{'tp': 2, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 1, 'ep': 32, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
512	30.846578	nan	nan	0.032419	3.913413e+17	1.268670e+16	3.118694e+14	0.079452	False	0.000000	113.603079	{'tp': 4, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 1, 'ep': 32, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
