num_gpus	runtime_s	prefill_time_s	decode_time_s	performance_1_over_s	total_flops	achieved_flops_per_s	peak_flops_per_gpu	mfu	memory_exceeded	memory_violation_gb	eval_wall_time_s	parallelism
256	46.030064	nan	nan	0.021725	3.913413e+17	8.501864e+15	3.118694e+14	0.106488	False	0.000000	63.369044	{'tp': 2, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 2, 'ep': 16, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	46.209471	nan	nan	0.021641	3.913413e+17	8.468856e+15	3.118694e+14	0.106075	False	0.000000	76.495344	{'tp': 2, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 1, 'ep': 32, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	68.318100	nan	nan	0.014637	3.913413e+17	5.728224e+15	3.118694e+14	0.143495	False	0.000000	78.413876	{'tp': 2, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 2, 'ep': 8, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	43.904046	nan	nan	0.022777	3.913413e+17	8.913560e+15	3.118694e+14	0.111645	False	0.000000	79.793445	{'tp': 4, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 2, 'ep': 8, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	58.679276	nan	nan	0.017042	3.913413e+17	6.669158e+15	3.118694e+14	0.167066	False	0.000000	81.577967	{'tp': 2, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 2, 'ep': 16, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	38.005422	nan	nan	0.026312	3.913413e+17	1.029699e+16	3.118694e+14	0.128973	False	0.000000	81.647782	{'tp': 4, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 2, 'ep': 16, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	58.922904	nan	nan	0.016971	3.913413e+17	6.641583e+15	3.118694e+14	0.166375	False	0.000000	86.804107	{'tp': 2, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 1, 'ep': 32, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
128	68.908988	nan	nan	0.014512	3.913413e+17	5.679105e+15	3.118694e+14	0.142265	False	0.000000	91.753989	{'tp': 2, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 1, 'ep': 16, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	44.594780	nan	nan	0.022424	3.913413e+17	8.775497e+15	3.118694e+14	0.109915	False	0.000000	91.946997	{'tp': 4, 'cp': 1, 'pp': 4, 'mb': 4, 'tp_sp': True, 'train': {'dp': 1, 'ep': 16, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
256	38.321409	nan	nan	0.026095	3.913413e+17	1.021208e+16	3.118694e+14	0.127909	False	0.000000	103.716587	{'tp': 4, 'cp': 1, 'pp': 2, 'mb': 2, 'tp_sp': True, 'train': {'dp': 1, 'ep': 32, 'tp_ep': True}, 'inference': {'replica_count': 1, 'moe_dp': 1}}
